income,surface_structure_coherence_mean,surface_structure_disorderliness_mean,surface_roughness_disorderliness_mean,colour_saturation_mean,colour_hue_coherence_mean,colour_hue_disorderliness_mean,tcap_wetness_mean,tcap_greenness_std,nir_band_mean,colour_brightness_coherence_mean,colour_brightness_disorderliness_mean,ndwi_wetness_contrast_mean,ndwi_wetness_coherence_std,tcap_wetness_disorderliness_mean,tcap_built_coherence_std
655,0.700210134,4.749673525,0.095992214,178.0807292,0.151015014,6.637042714,-459.5950373,523.2247152,1966.924479,0.700755873,4.684377232,200.5160868,0.022775038,8.083224103,0.027993286
655,0.70807253,5.675471462,0.330056473,172.5213483,0.099890744,6.823447298,-712.0218514,472.6213807,2023.082395,0.591482585,5.02686738,261.4631811,0.049505491,8.078611056,0.032844054
657,0.741273652,5.344838387,0.216107001,180.06917,0.373024309,6.366146749,-585.8160286,385.7914914,1982.889329,0.651226237,4.587289565,181.61351,0.03476321,8.079065838,0.059582104
657,0.75991076,6.002756239,0.602128625,178.0676157,0.150809174,6.598138668,-887.3122407,453.2052347,1547.476866,0.667162391,4.897965773,292.0141218,0.015334056,8.078799946,0.025797201
658,0.761550297,5.831835887,1.144487955,173.1813426,0.273395484,6.378287347,-605.3155166,460.9450333,1981.958154,0.77028526,5.123425167,270.8295649,0.083788192,8.079013343,0.077531347
660,0.699962879,4.398383412,0.403864592,169.8058968,0.243630837,6.483363529,-541.629745,721.3416925,1895.815728,0.785273066,5.393669528,317.2779893,0.038156499,8.081836784,0.013673646
661,0.744594413,4.839965339,0.105906063,172.1629992,0.371582839,6.255496173,-682.8866445,509.7647658,1988.438471,0.627869383,4.934161102,219.0895414,0.03060713,8.080826681,0.021868287
661,0.73415203,4.640343261,0.1687548,173.6368657,0.282833534,6.47745315,-572.93562,665.6744597,2235.644806,0.727987242,4.691852405,179.461309,0.042684633,8.079098849,0.028068629
661,0.758629132,5.790371052,0.744355013,182.6412379,0.272292399,6.479218875,-444.7128194,850.6512153,2358.618388,0.742245121,5.18156969,219.1532685,0.046350492,8.083034533,0.025462219
665,0.74669725,5.067754843,0.385465691,172.9818607,0.186220251,6.563029964,-694.7246262,454.7547281,2083.198361,0.702024344,4.587849625,178.724416,0.074612199,8.080451664,0.030939093
665,0.832930153,5.833948189,0.973451933,164.1857319,0.254810816,6.56320062,-548.2892204,469.8331536,1965.386222,0.642846429,5.194810177,239.3712727,0.020278338,8.080398573,0.045864538
669,0.722616392,5.151828798,0.203278645,176.8693333,0.246834187,6.285643258,-692.8591879,614.2172921,2243.018665,0.79351281,5.07520108,172.6662116,0.096081459,8.081239706,0.044257778
669,0.715329631,5.067508666,0.323910934,175.9085119,0.298065996,6.042852322,-1079.390483,564.1205149,2110.841924,0.75627148,5.451036585,179.7375,0.049917252,8.082380585,0.028705061
670,0.687667919,5.404945801,0.330265841,175.374502,0.210328314,6.138278026,-814.7783836,432.883918,1307.083668,0.637875009,5.025880793,262.5742848,0.058105846,8.07796578,0.017474163
