income,gsv_apartments,gsv_commercial,gsv_greenery,gsv_historical,gsv_impervious,gsv_industrial,gsv_other,gsv_private,gsv_water,gsv_hue_mean,gsv_hue_std,gsv_hue_maj,gsv_saturation_mean,gsv_saturation_std,gsv_saturation_maj,gsv_brightness_mean,gsv_brightness_std,gsv_brightness_maj,gsv_entropy_mean,gsv_entropy_std,gsv_entropy_maj,gsv_std_mean,gsv_std_std,gsv_std_maj,gsv_contrast_mean,gsv_contrast_std,gsv_contrast_maj,gsv_dissimilarity_mean,gsv_dissimilarity_std,gsv_dissimilarity_maj,gsv_homogeneity_mean,gsv_homogeneity_std,gsv_homogeneity_maj,gsv_ASM_mean,gsv_ASM_std,gsv_ASM_maj,gsv_energy_mean,gsv_energy_std,gsv_energy_maj,gsv_correlation_mean,gsv_correlation_std,gsv_correlation_maj
00-20 low,1,0,0,1,0,0,0,0,0,67,64,36,0.159235,0.014699,0.140286,0.573362,0.053904,0.520222,2.020542,0.087867,1.922499,0.22292,0.024682,0.185541,436.39397,100.046386,291.087745,12.450853,1.488742,10.145221,0.163965,0.018052,0.136299,3.04e-4,5.1e-5,2.63e-4,0.017381,0.001384,0.016208,0.926428,0.023693,0.878933
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,30.333333,1.247219,29,0.145792,0.016258,0.123305,0.589369,0.027337,0.553219,2.107363,0.044424,2.058847,0.217896,0.00337,0.214013,224.989757,29.778373,197.574142,7.53028,0.675157,6.940502,0.290725,0.035394,0.251931,8.43e-4,5.24e-4,3.5e-4,0.027672,0.008787,0.018705,0.962945,0.005153,0.956653
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,1,0,0,0,0,0,0,1,0,92,84.856742,31,0.270373,0.035464,0.23624,0.533302,0.041747,0.501426,2.139296,0.046595,2.088242,0.243575,0.020457,0.218666,240.456873,23.377267,207.675613,8.540186,0.627868,7.691759,0.224756,0.046416,0.18062,3.69e-4,1.08e-4,2.21e-4,0.018965,0.002981,0.014855,0.960181,0.01287,0.944397
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,1,0,1,0,0,0,1,0,0,80.333333,4.189935,76,0.25739,0.058731,0.211056,0.506259,0.035083,0.464321,1.990834,0.010483,1.98084,0.191894,0.010542,0.179501,363.245507,64.772695,273.398254,10.658578,1.32216,8.877175,0.221598,0.051138,0.157605,4.93e-4,1.57e-4,2.81e-4,0.02188,0.003751,0.016755,0.924316,0.019607,0.897443
00-20 low,0,0,0,0,0,0,1,0,0,68.833333,62.38968,33,0.265044,0.038892,0.205533,0.602638,0.067156,0.494891,2.140006,0.073081,1.997441,0.245109,0.017385,0.219793,347.050204,67.689533,256.17068,10.591585,0.953136,9.326808,0.217114,0.023252,0.18924,3.82e-4,8.7e-5,2.45e-4,0.019427,0.002246,0.015658,0.946182,0.009811,0.93099
00-20 low,0,0,0,0,0,0,0,0,2,103.333333,74.968141,43,0.124258,0.015676,0.104183,0.525413,0.017029,0.501874,2.137347,0.035671,2.087952,0.22264,0.011228,0.211761,251.8928,24.10295,228.195374,8.005974,0.531062,7.456158,0.270225,0.025361,0.235193,4.77e-4,1.46e-4,3.18e-4,0.021591,0.003312,0.017825,0.959067,0.006331,0.951833
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,2,0,0,0,0,0,0,0,0,83.333333,92.409716,16,0.220892,0.056136,0.155854,0.481324,0.039619,0.425697,1.951877,0.082055,1.845015,0.227339,0.037933,0.174846,221.175919,81.424828,116.557445,7.299775,1.961653,4.769455,0.328256,0.059703,0.261024,0.001856,0.001458,6.17e-4,0.039897,0.016255,0.024841,0.960568,0.027976,0.921328
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,3,0,0,0,0,182,62.311048,43,0.174951,0.037597,0.128899,0.524382,0.042831,0.45062,2.105037,0.074011,1.959295,0.238809,0.021441,0.209162,216.884886,100.825943,84.341973,7.480433,2.149692,4.362132,0.27576,0.047954,0.181226,7.09e-4,5.16e-4,2.18e-4,0.02512,0.008849,0.014772,0.966439,0.019873,0.925425
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,1,0,0,0,0,0,0,0,0,213.333333,0.471405,213,0.124765,0.002376,0.121469,0.557958,0.031003,0.517159,2.058466,0.091076,1.970503,0.21204,0.01652,0.191746,247.374592,52.230789,173.50913,7.889808,1.569479,5.671017,0.262249,0.034324,0.22766,5.9e-4,2.24e-4,3.84e-4,0.023877,0.00445,0.019602,0.954323,0.014968,0.937713
00-20 low,0,3,0,0,0,0,0,0,0,27.666667,0.942809,27,0.346275,0.043112,0.305743,0.592554,0.017184,0.569605,1.907834,0.046679,1.859205,0.165773,0.010764,0.15796,313.696518,50.53838,271.168627,10.057057,0.965398,9.113603,0.226743,0.021276,0.198029,4.88e-4,1.16e-4,3.28e-4,0.021912,0.00274,0.018119,0.889103,0.001514,0.88772
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,1,0,0,0,0,0,0,0,0,157.166667,77.613179,212,0.288172,0.051376,0.214032,0.720129,0.020491,0.688238,1.782694,0.085342,1.648725,0.221423,0.028453,0.168052,180.930484,29.928623,140.876961,6.633323,0.810989,5.608517,0.372065,0.023475,0.33984,0.001957,0.00223,7.77e-4,0.039599,0.019711,0.027876,0.943185,0.043914,0.848606
00-20 low,1,0,0,0,0,0,0,0,1,92,84.146697,32,0.17893,0.018532,0.158856,0.611268,0.071846,0.528677,2.114428,0.116016,1.951536,0.218551,0.007624,0.207786,224.546661,43.587675,163.45386,8.120313,1.076678,6.605086,0.228335,0.016463,0.209025,4.32e-4,1.54e-4,2.96e-4,0.020486999999999998,0.003566,0.017212,0.956573,0.006219,0.951453
